Question,Question,A,B,C,D,Correct
What is the capital of India?,What is the capital of India?,Mumbai,New Delhi,Chennai,Kolkata,B
Which planet is known as the Red Planet?,Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,B
Who wrote the National Anthem of India?,Who wrote the National Anthem of India?,Rabindranath Tagore,Mahatma Gandhi,Subhash Chandra Bose,Sarojini Naidu,A
What is 5 + 7?,What is 5 + 7?,10,11,12,13,C
Which gas do plants absorb?,Which gas do plants absorb?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B
Which is the largest ocean?,Which is the largest ocean?,Atlantic,Indian,Pacific,Arctic,C
What is the boiling point of water?,What is the boiling point of water?,90°C,80°C,100°C,120°C,C
Who is known as the Father of the Nation (India)?,Who is known as the Father of the Nation (India)?,Nehru,Gandhi,Patel,Bose,B
Which is the fastest land animal?,Which is the fastest land animal?,Lion,Tiger,Cheetah,Leopard,C
What is the square root of 64?,What is the square root of 64?,6,7,8,9,C
